"","r2","name"
"147",0.452258879441267,"ALPL"
"148",0.511129368013823,"PECR"
"149",0.322869925010679,"HAS2-AS1"
"150",0.197321812137036,"DDIT3"
"151",0.400099621864214,"DDIT4"
"152",0.58576495243462,"ARHGAP8"
"153",0.72666528205984,"EPHB1"
"154",0.31971484576726,"VMO1"
"155",0.517191102044131,"ATP5C1"
"156",0.428828966748269,"NPC2"
"157",0.390089749872425,"NPC1"
"158",0.517969292917242,"LINC00324"
"159",0.593853476333241,"C3orf58"
"160",0.41843697024169,"RAB3GAP2"
"161",0.312544089327718,"BHLHA15"
"162",0.339551532467478,"RAB3GAP1"
"163",0.67441805834878,"C3orf52"
"164",0.36635137035772,"DAG1"
"165",0.213803222737253,"ETHE1"
"166",0.461831714474798,"SGSM3"
"167",0.61620077745789,"KDM1A"
"168",0.387263535554606,"KDM1B"
"169",0.535559135369787,"FCER1G"
"170",0.622182649064824,"BTG2"
"171",0.56987785594047,"SOSTDC1"
"172",0.422040936084237,"SRD5A3"
"173",0.186629578049999,"SRD5A2"
"174",0.613567445744392,"SRD5A1"
"175",0.720012898717154,"ARMT1"
"176",0.486781654701592,"GGA3"
"177",0.388861639023866,"GGA2"
"178",0.528437261055803,"FHOD1"
"179",0.478190396860881,"FHOD3"
"180",0.417189637421722,"GJC2"
"181",0.303347059517687,"GJC1"
"182",0.354697077386828,"PSMB6"
"183",0.450636867912463,"PSMB5"
"184",0.530863770293439,"PSMB4"
"185",0.568982602994651,"PSMB3"
"186",0.40547130769774,"PSMB1"
"187",0.366665464519038,"LMBR1L"
"188",0.482839430972276,"PNMA1"
"189",0.51738150352508,"ACKR2"
"190",0.571338946918382,"ACKR3"
"191",0.576461078290692,"PNMA3"
"192",0.419608816903945,"PNMA2"
"193",0.264307764010014,"LTN1"
"194",0.492157200419148,"C9orf142"
"195",0.184579226552516,"NACC2"
"196",0.409079996737694,"VPS13D"
"197",0.608928118373937,"NACC1"
"198",0.284175675132176,"VPS13A"
"199",0.605901507171853,"SH3KBP1"
"200",0.40588847765425,"VPS13C"
"201",0.354358481489059,"VPS13B"
"202",0.280597407751029,"BEX5"
"203",0.353546907316551,"BEX4"
"204",0.406710292376389,"BEX3"
"205",0.442591786888184,"BEX2"
"206",0.371691362820384,"BEX1"
"207",0.380483641405248,"TMEM160"
"208",0.262797842696777,"TMEM163"
"209",0.300782859000783,"TMEM165"
"210",0.118546466595408,"TMEM164"
"211",0.382766533126905,"TMEM169"
"212",0.306609823199211,"TMEM168"
"213",0.365301901820932,"FOXN1"
"214",0.561241242277537,"FOXN2"
"215",0.641639070020964,"FOXN3"
"216",0.565840711693143,"NICN1"
"217",0.520615374184606,"COL14A1"
"218",0.647984056851444,"IFFO2"
"219",0.327296557456941,"SNAP91"
"220",0.398183452060224,"KRR1"
"221",0.242962675482893,"STRN"
"222",0.530256377130535,"MTCL1"
"223",0.586348065060161,"ATP1A3"
"224",0.607860736140487,"C8orf48"
"225",0.525691681866371,"C8orf46"
"226",0.289030422110325,"C8orf44"
"227",0.569082118271461,"MB"
"228",0.239230653695354,"SLC18A2"
"229",0.383013153616172,"RALBP1"
"230",0.502624865959395,"SPHK2"
"231",0.3418247016699,"B3GALT5-AS1"
"232",0.439268786073955,"ZNF830"
"233",0.554207315009046,"ZNF835"
"234",0.690690333160052,"KLHL6"
"235",0.312896700010659,"ZNF836"
"236",0.323448169073192,"LRIF1"
"237",0.394818410864869,"PHAX"
"238",0.405261229278484,"SUGCT"
"239",0.446633947115746,"SBSPON"
"240",0.504745791492413,"RAB33A"
"241",0.321806766233154,"RAB33B"
"242",0.259803794585737,"SLC17A5"
"243",0.665927388519444,"SLC17A7"
"244",0.548307849346471,"C16orf58"
"245",0.641372792630811,"C16orf59"
"246",0.430303862475589,"CHMP4A"
"247",0.459776833080452,"CHMP4B"
"248",0.578156307783876,"CHMP4C"
"249",0.443844203291612,"COBLL1"
"250",0.364721385396955,"TMEM255A"
"251",0.604685653539517,"ST5"
"252",0.139483664195508,"ST7"
"253",0.449043926472403,"ZNF304"
"254",0.329802556234093,"ZNF302"
"255",0.584559255648824,"ZNF300"
"256",0.395880686541683,"STS"
"257",0.700679207397322,"HOXB13"
"258",0.489085224376664,"TP53TG1"
"259",0.610734680380154,"FBXO17"
"260",0.53636423155833,"PPP3CB"
"261",0.473266851833139,"PPP3CC"
"262",0.292524461644029,"LIF"
"263",0.297461916235262,"GPATCH8"
"264",0.425067339348205,"RPL13"
"265",0.496289748524548,"ADRA2A"
"266",0.300137280130165,"ADRA2B"
"267",0.562446240313145,"ADRA2C"
"268",0.0704404078715735,"FAM45BP"
"269",0.225405185322304,"TEX29"
"270",0.673528394494534,"SYT8"
"271",0.488854505813603,"MTCH2"
"272",0.487985220638699,"MTCH1"
"273",0.473458711704968,"SYT1"
"274",0.413167627812868,"SYT5"
"275",0.204119881621175,"SYT6"
"276",0.663785351805078,"SYT7"
"277",0.333985607255972,"TIAL1"
