"","x"
"3567","BFAR"
"3568","LEO1"
"3569","MGRN1"
"3570","DPT"
"3571","CUEDC1"
"3572","CUEDC2"
"3573","RBMXL1"
"3574","RHEBL1"
"3575","PNOC"
"3576","CNTF"
"3577","PDIA5"
"3578","PNP"
"3579","PNN"
"3580","HAMP"
"3581","CNPY4"
"3582","CNPY3"
"3583","CNPY2"
"3584","COPG2"
"3585","SHOX2"
"3586","CHFR"
"3587","SYPL1"
"3588","RCOR3"
"3589","NUDT9P1"
"3590","SYPL2"
"3591","RFX8"
"3592","RFX5"
"3593","RFX6"
"3594","RFX7"
"3595","TIGD3"
"3596","RFX2"
"3597","RFX3"
"3598","IBA57"
"3599","APC"
"3600","TMEM179B"
"3601","ADNP"
"3602","TARS2"
"3603","OSR1"
"3604","IGFBP3"
"3605","IGFBP1"
"3606","IGFBP7"
"3607","IGFBP4"
"3608","IGFBP5"
"3609","CYP2R1"
"3610","CKLF"
"3611","APLNR"
"3612","CYP8B1"
"3613","PMS2P2"
"3614","PMS2P3"
"3615","PMS2P4"
"3616","PMS2P5"
"3617","TXNIP"
"3618","FAM157A"
"3619","MECOM"
"3620","CLIC6"
"3621","CLIC4"
"3622","CLIC5"
"3623","CLIC3"
"3624","SOWAHA"
"3625","SOWAHB"
"3626","SOWAHC"
"3627","ZNF7"
"3628","ZNF2"
"3629","ZNF3"
"3630","ZNF8"
"3631","CDC5L"
"3632","SBDS"
"3633","MRPS18A"
"3634","AP2A1"
"3635","AP2A2"
"3636","NSUN3"
"3637","NSUN2"
"3638","NSUN5"
"3639","NSUN7"
"3640","NSUN6"
"3641","PAGR1"
"3642","CDR2L"
"3643","BRDT"
"3644","BRD8"
"3645","BRD9"
"3646","BRD4"
"3647","BRD7"
"3648","BRD1"
"3649","BRD3"
"3650","LOC643387"
"3651","CH25H"
"3652","DMD"
"3653","SEH1L"
"3654","GAB2"
"3655","GAB3"
"3656","GAB1"
"3657","PDIA6"
"3658","ZSCAN9"
"3659","ZSCAN1"
"3660","ZSCAN2"
"3661","DNAJB13"
"3662","DNAJB12"
"3663","DNAJB14"
"3664","SUPT20H"
"3665","VILL"
"3666","PSD"
"3667","ARHGAP5-AS1"
"3668","AMOTL2"
"3669","PPIAL4G"
"3670","FAM214A"
"3671","FAM214B"
"3672","CFAP36"
"3673","AKIRIN2"
"3674","AKIRIN1"
"3675","EREG"
"3676","AVPI1"
"3677","ASAP1"
"3678","ASAP2"
"3679","OCRL"
"3680","HILPDA"
"3681","C14orf132"
"3682","ANKLE1"
"3683","CSNK1G2"
"3684","RHPN1"
"3685","SERPINB8"
"3686","SRRM1"
"3687","SRRM3"
"3688","SRRM2"
"3689","SRRM5"
"3690","TM2D1"
"3691","TM2D2"
"3692","TM2D3"
"3693","RSBN1"
"3694","ARHGAP22"
"3695","ARHGAP21"
"3696","ARHGAP20"
"3697","ARHGAP27"
"3698","ARHGAP26"
"3699","ARHGAP25"
"3700","ARHGAP29"
"3701","HHAT"
"3702","NDUFAF3"
"3703","DBIL5P"
"3704","RSAD2"
"3705","RSAD1"
"3706","NDUFAF8"
"3707","MRC2"
"3708","DYNC1LI1"
"3709","EFHC2"
"3710","EFHC1"
"3711","ABCG1"
"3712","PLSCR4"
"3713","ABCG5"
"3714","PLSCR1"
"3715","AKR1B10"
"3716","SLA2"
"3717","C4orf36"
"3718","C4orf33"
"3719","C15orf48"
"3720","TSNAXIP1"
"3721","C15orf40"
"3722","C15orf41"
"3723","NRM"
"3724","PKD2"
"3725","ZNF138"
"3726","SQOR"
"3727","PRKACA"
"3728","ZNF132"
"3729","ZNF133"
"3730","ZNF134"
"3731","ZNF135"
"3732","ZNF136"
"3733","SPG7"
"3734","SPRYD7"
"3735","KCNK9"
"3736","KCNK5"
"3737","KCNK6"
"3738","KCNK1"
"3739","KCNK2"
"3740","SCAF11"
"3741","NUP160"
"3742","GNA12"
"3743","GNA13"
"3744","GNA11"
"3745","MFGE8"
"3746","ZBTB39"
"3747","OGDH"
"3748","RPL13AP20"
"3749","C1orf131"
"3750","NEUROG2"
"3751","GTF2F1"
"3752","GTF2F2"
"3753","ZBTB37"
"3754","TMEM132A"
"3755","PEG10"
"3756","TMEM132B"
"3757","NAIF1"
"3758","H3F3C"
"3759","H3F3A"
"3760","CCL20"
"3761","CCL23"
"3762","CCL22"
"3763","CCL26"
"3764","ALPK1"
"3765","ALPK3"
"3766","ALPK2"
"3767","CUX1"
"3768","CUX2"
"3769","CSNK1A1"
"3770","GLYATL2"
"3771","GLYATL1"
"3772","RAP1B"
"3773","CTF1"
"3774","LDLR"
"3775","UBFD1"
"3776","FIZ1"
"3777","SULF1"
"3778","BIN2"
"3779","NOS1AP"
"3780","TFG"
"3781","HVCN1"
"3782","RND1"
"3783","RND2"
"3784","RND3"
"3785","CTNNBIP1"
"3786","KIAA1549"
"3787","LRRC41"
"3788","LRRC40"
"3789","LRRC42"
"3790","LRRC45"
"3791","LRRC47"
"3792","LRRC46"
"3793","LRRC49"
"3794","FNDC8"
"3795","FNDC4"
"3796","FNDC5"
"3797","FNDC1"
"3798","PWWP2B"
"3799","PWWP2A"
"3800","BIK"
"3801","CCDC152"
"3802","CCDC153"
"3803","CCDC150"
"3804","CCDC151"
"3805","CCDC157"
"3806","CCDC154"
"3807","CCDC159"
"3808","LRRC4C"
"3809","TASP1"
"3810","PCED1A"
"3811","PCED1B"
"3812","CCZ1B"
"3813","PALMD"
"3814","PALM3"
"3815","PALM2"
"3816","MANSC1"
"3817","ICMT"
"3818","FCF1"
"3819","ATP6V0A1"
"3820","ATP5A1"
"3821","LINC00346"
"3822","PODXL2"
"3823","NPAT"
"3824","LLGL2"
"3825","LLGL1"
"3826","ACOX2"
"3827","ACOX3"
"3828","ACOX1"
"3829","RCSD1"
"3830","GAL3ST2"
"3831","GAL3ST4"
"3832","C3orf33"
"3833","NANP"
"3834","C3orf38"
"3835","IL17REL"
"3836","MATN1"
"3837","MATN3"
"3838","MATN2"
"3839","MATN4"
"3840","EBF4"
"3841","EBF3"
"3842","EBF2"
"3843","EBF1"
"3844","LMNA"
"3845","ENDOU"
"3846","BDH1"
"3847","IGDCC3"
"3848","GULP1"
"3849","FLVCR1"
"3850","GGPS1"
"3851","NACA2"
"3852","C9orf163"
"3853","MARCKS"
"3854","CGRRF1"
"3855","TMEM109"
"3856","TMEM108"
"3857","NACAD"
"3858","TMEM102"
"3859","FOXH1"
"3860","TMEM107"
"3861","TMEM105"
"3862","TMEM104"
"3863","CYP2B6"
"3864","PDCL3"
"3865","CORO6"
"3866","CCM2"
"3867","HLTF"
"3868","KRT1"
"3869","KRT7"
"3870","KRT5"
"3871","KRT4"
"3872","KRT9"
"3873","DACT1"
"3874","DACT2"
"3875","TMCC1"
"3876","TMCC3"
"3877","MOGS"
"3878","LOC100130691"
"3879","RUNX1T1"
"3880","ZNF813"
"3881","SPTBN5"
"3882","SPTBN4"
"3883","SPTBN2"
"3884","SPTBN1"
"3885","MRPL33"
"3886","TFAP2A"
"3887","TFAP2C"
"3888","TFAP2B"
"3889","TFAP2E"
"3890","MRPL39"
"3891","SAMHD1"
"3892","FAM149A"
"3893","RPA1"
"3894","RPA2"
"3895","REC8"
"3896","CHMP2B"
"3897","PCDHGB2"
"3898","PCDHGB1"
"3899","CHMP2A"
"3900","PCDHGB7"
"3901","PCDHGB6"
"3902","PCDHGB5"
"3903","PCDHGB4"
"3904","RREB1"
"3905","TP53AIP1"
"3906","PHC3"
"3907","ZNF362"
"3908","ZNF365"
"3909","ZNF367"
"3910","ZNF366"
"3911","PRF1"
"3912","H2AFV"
"3913","H2AFX"
"3914","H2AFY"
"3915","TMEM189-UBE2V1"
"3916","H2AFJ"
"3917","NMD3"
"3918","TEX45"
"3919","BAIAP3"
"3920","BAIAP2"
"3921","FOXP2"
"3922","VAX2"
"3923","CST9L"
"3924","WBSCR28"
"3925","SPHAR"
"3926","FOXP4"
"3927","POLDIP3"
"3928","POLDIP2"
"3929","GP1BA"
"3930","HM13"
"3931","ALDH18A1"
"3932","NUP85"
"3933","C1orf74"
"3934","YTHDF2"
"3935","GLB1"
"3936","HS3ST3A1"
"3937","PYCARD"
"3938","DUSP28"
"3939","DUSP23"
"3940","YAF2"
"3941","HSD17B7P2"
"3942","EDIL3"
"3943","ZGPAT"
"3944","EIF5A2"
"3945","UBE2D4"
"3946","UBE2D2"
"3947","UBE2D3"
"3948","UBE2D1"
"3949","EDNRB"
"3950","SAP130"
"3951","APOF"
"3952","APOD"
"3953","APOE"
"3954","APOB"
"3955","APOO"
"3956","APOM"
"3957","FAM104A"
"3958","FAM104B"
"3959","CCDC50"
"3960","CCDC51"
"3961","CCDC58"
"3962","CCDC59"
"3963","NUFIP2"
"3964","NUFIP1"
"3965","PREPL"
"3966","CABP7"
"3967","CABP4"
"3968","CABP1"
"3969","FBXO34"
"3970","FBXO36"
"3971","FBXO30"
"3972","FBXO31"
"3973","FBXO32"
"3974","FBXO33"
"3975","FBXO38"
"3976","FBXO39"
"3977","MBOAT2"
"3978","MBOAT7"
"3979","MBOAT4"
"3980","SLC25A53"
"3981","SLC25A52"
"3982","SLC25A51"
"3983","UNC79"
"3984","ALAS1"
"3985","RTN4R"
"3986","FICD"
"3987","KIAA0513"
"3988","CDCA7L"
"3989","APBA2"
"3990","MORC2"
"3991","MORC3"
"3992","MORC4"
"3993","PTPRZ1"
"3994","GPATCH2L"
"3995","SSUH2"
"3996","RAI2"
"3997","COL28A1"
"3998","LGALS3BP"
"3999","TTBK2"
"4000","TTBK1"
"4001","MAGEF1"
"4002","ACBD3"
"4003","ACBD7"
"4004","ACBD6"
"4005","ACBD5"
"4006","ACBD4"
"4007","HYLS1"
"4008","TIGIT"
"4009","AGAP7P"
"4010","FAM172A"
"4011","DFFA"
"4012","DFFB"
"4013","REV3L"
"4014","RNF19B"
"4015","RNF19A"
"4016","MRPL43"
"4017","MRPL42"
"4018","IPP"
"4019","MRPL40"
"4020","MRPL47"
"4021","HGFAC"
"4022","MRPL44"
"4023","TRIP6"
"4024","MRPL49"
"4025","MRPL48"
"4026","NGF"
"4027","FHAD1"
"4028","UNC93B1"
"4029","SPOUT1"
"4030","NEK6"
"4031","NEK7"
"4032","NEK4"
"4033","NEK5"
"4034","BMF"
"4035","NEK3"
"4036","CCSAP"
"4037","NEK8"
"4038","NEK9"
"4039","BMX"
"4040","G0S2"
"4041","DHPS"
"4042","COQ10B"
"4043","CCDC3"
"4044","CCDC6"
"4045","CCDC7"
"4046","CCDC9"
"4047","PCDHB18P"
"4048","NSD1"
"4049","NSD3"
"4050","SYCE1"
"4051","WDHD1"
"4052","CFAP161"
"4053","LAGE3"
"4054","STAB1"
"4055","STAB2"
"4056","PYHIN1"
"4057","PCP2"
"4058","MTMR14"
"4059","TRMT2A"
"4060","ECE2"
"4061","ECE1"
"4062","TRMT2B"
"4063","IMPACT"
"4064","EVC2"
"4065","AURKA"
"4066","AURKB"
"4067","AURKC"
"4068","WFIKKN2"
"4069","WFIKKN1"
"4070","NCR3LG1"
"4071","LOC148413"
"4072","CHN1"
"4073","CAV2"
"4074","CAV1"
"4075","SARNP"
"4076","SOX2-OT"
"4077","SKAP2"
"4078","SKAP1"
"4079","PITPNA"
"4080","PITPNB"
"4081","DCAF12L2"
"4082","CLEC7A"
"4083","AMN1"
"4084","KIR3DL2"
"4085","LMNB2"
"4086","IL13RA2"
"4087","IL13RA1"
"4088","LMNB1"
"4089","MRPS28"
"4090","MRPS26"
"4091","MRPS27"
"4092","MRPS24"
"4093","MRPS25"
"4094","MRPS22"
"4095","MRPS23"
"4096","MRPS21"
"4097","PRORSD1P"
"4098","JMJD6"
"4099","JMJD4"
"4100","ZHX2"
"4101","JMJD8"
"4102","ZHX1"
"4103","APPL1"
"4104","APPL2"
"4105","MEMO1"
"4106","HS3ST6"
"4107","HS3ST4"
"4108","HS3ST2"
"4109","HS3ST1"
"4110","CLCNKA"
"4111","PHOSPHO2"
"4112","PHOSPHO1"
"4113","ZNHIT3"
"4114","ZNHIT2"
"4115","ZNHIT1"
"4116","ZNHIT6"
"4117","PLEKHM1P1"
"4118","NFATC2IP"
"4119","FAAH2"
"4120","ZP1"
"4121","ZP3"
"4122","LAG3"
"4123","SMIM24"
"4124","TTYH2"
"4125","TTYH3"
"4126","STK11IP"
"4127","C6orf62"
"4128","NFS1"
"4129","FBXL3"
"4130","DES"
"4131","FBXL4"
"4132","DEK"
"4133","MANEA"
"4134","HTR2A"
"4135","HTR2B"
"4136","GBA2"
"4137","ESAM"
"4138","ERMN"
"4139","ACD"
"4140","ATP5S"
"4141","ATP5J"
"4142","ATP5I"
"4143","ATP5H"
"4144","ME1"
"4145","ME3"
"4146","ATP5L"
"4147","ATP5B"
"4148","ATP5E"
"4149","ATP5D"
"4150","MPZL2"
"4151","MPZL3"
"4152","TBK1"
"4153","MPZL1"
"4154","CYP7B1"
"4155","CLPX"
"4156","CLPP"
"4157","CLPB"
"4158","SLC9A3R2"
"4159","SLC9A3R1"
"4160","LOC646471"
"4161","SLC40A1"
"4162","CLP1"
"4163","DTWD1"
"4164","CPM"
"4165","CPO"
"4166","CPD"
"4167","CPE"
"4168","CPZ"
"4169","CPQ"
"4170","CASS4"
"4171","CYP46A1"
"4172","BANK1"
"4173","DOC2A"
"4174","DOC2B"
"4175","RBM4B"
"4176","RMRP"
"4177","HHIP"
"4178","MIGA2"
"4179","GABRP"
"4180","KRT17"
"4181","KRT16"
"4182","KRT14"
"4183","KRT13"
"4184","GABRE"
"4185","GABRD"
"4186","KRT19"
"4187","KRT18"
"4188","ABHD17A"
"4189","ABHD17C"
"4190","SLC26A6"
"4191","NBPF7"
"4192","NBPF1"
"4193","ZFP69B"
"4194","TM9SF4"
"4195","TM9SF1"
"4196","TM9SF2"
"4197","SPATS2L"
"4198","GOSR2"
"4199","MEPCE"
"4200","KCNC4"
"4201","KCNC1"
"4202","KCNC2"
"4203","FLCN"
"4204","MFSD6L"
"4205","NGFR"
"4206","ACAA2"
"4207","ACAA1"
"4208","TMEM51-AS1"
"4209","ARIH1"
"4210","SUFU"
"4211","PLA2G4C"
"4212","PLA2G4F"
"4213","PLA2G4D"
"4214","CMTM8"
"4215","CMTM2"
"4216","CMTM3"
"4217","CMTM1"
"4218","CMTM4"
"4219","CMTM5"
"4220","COL11A1"
"4221","TNNI3"
"4222","LAD1"
"4223","NDUFA11"
"4224","NDUFA12"
"4225","NDUFA13"
"4226","ALDH1L1"
"4227","GNG4"
"4228","GNG5"
"4229","GNG2"
"4230","GNG3"
"4231","FUS"
"4232","UGT3A2"
"4233","FUZ"
"4234","SMARCE1"
"4235","FUK"
"4236","RASGEF1C"
"4237","RASGEF1B"
"4238","PLEKHS1"
"4239","SMYD4"
"4240","SMYD5"
"4241","SMYD1"
"4242","SMYD2"
"4243","SMYD3"
"4244","FAM78A"
"4245","FAM78B"
"4246","LY75"
"4247","CLK1"
"4248","CLK2"
"4249","CLK3"
"4250","CLK4"
"4251","ONECUT2"
"4252","TMEM150A"
"4253","TMEM150C"
"4254","TMEM150B"
"4255","MTO1"
"4256","LYSMD3"
"4257","ACVR2A"
"4258","LYSMD1"
"4259","RRAS2"
"4260","LYSMD4"
"4261","SPATA33"
"4262","SPATA32"
"4263","MTOR"
"4264","OMG"
"4265","C2orf69"
"4266","C2orf68"
"4267","HIP1"
"4268","SNHG15"
"4269","SNHG11"
"4270","SNHG10"
"4271","CYBA"
"4272","CEACAM19"
"4273","CIDEB"
"4274","CIDEA"
"4275","HSF1"
"4276","TRMT112"
"4277","HSF2"
"4278","HSF5"
"4279","HSF4"
"4280","PRPF4B"
"4281","C7orf57"
"4282","C7orf50"
"4283","RORC"
"4284","RORB"
"4285","MST1P2"
"4286","ZNF471"
"4287","ZNF470"
"4288","ZNF473"
"4289","ZNF474"
"4290","ROR2"
"4291","SLTM"
"4292","CHEK2"
"4293","KPNA6"
"4294","KPNA5"
"4295","KPNA4"
"4296","KPNA1"
"4297","UNC119B"
"4298","FRS3"
"4299","GOLT1B"
"4300","GOLT1A"
"4301","B4GALT2"
"4302","B4GALT5"
"4303","B4GALT4"
"4304","B4GALT7"
"4305","FCN3"
"4306","FCN2"
"4307","FCN1"
"4308","TRRAP"
"4309","FAM174B"
"4310","FAM174A"
"4311","CYP19A1"
"4312","SPRN"
"4313","SULT2B1"
"4314","SVBP"
"4315","SOGA3"
"4316","SOGA1"
"4317","VMAC"
"4318","DOHH"
"4319","FAM83H"
"4320","PPP2R1A"
"4321","PPP2R1B"
"4322","ZMYND15"
"4323","ZMYND12"
"4324","ZMYND10"
"4325","ZMYND11"
"4326","ZMYND19"
"4327","FAM83F"
"4328","WNT2B"
"4329","HSPB7"
"4330","HSPB2"
"4331","HSPB1"
"4332","HSPB9"
"4333","AGBL5"
"4334","PBXIP1"
"4335","NAV1"
"4336","NAV3"
"4337","NAV2"
"4338","LIG1"
"4339","BDP1"
"4340","IREB2"
"4341","CSPG4"
"4342","CSPG5"
"4343","SCGB2A1"
"4344","SCGB2A2"
"4345","ZKSCAN1"
"4346","ZKSCAN2"
"4347","ZKSCAN5"
"4348","ZKSCAN4"
"4349","ZKSCAN7"
"4350","ZKSCAN8"
"4351","TMEM182"
"4352","TMEM181"
"4353","TMEM187"
"4354","TMEM186"
"4355","IL10RB"
"4356","TMEM189"
"4357","HCAR1"
"4358","TAF7"
"4359","TAF6"
"4360","TAF5"
"4361","MMAB"
"4362","TAF3"
"4363","TAF2"
"4364","TAF1"
"4365","HMOX1"
"4366","HMOX2"
"4367","TSPAN32"
"4368","TSPAN33"
"4369","TSPAN31"
"4370","ALAD"
"4371","FOSB"
"4372","DKFZp779M0652"
"4373","CLTCL1"
"4374","LRRCC1"
"4375","FNIP1"
"4376","FNIP2"
"4377","AKAP8L"
"4378","PDCD6"
"4379","PDCD7"
"4380","PDCD4"
"4381","PDCD5"
"4382","PDCD2"
"4383","PDCD1"
"4384","HDLBP"
"4385","ARFGEF1"
"4386","ARFGEF2"
"4387","ARFGEF3"
"4388","PLEKHA8P1"
"4389","KARS"
"4390","RAB39A"
"4391","IL12B"
"4392","IL12A"
"4393","RPIA"
"4394","SEC22C"
"4395","SEC22B"
"4396","SEC22A"
"4397","HAR1B"
"4398","PDCD10"
"4399","PDCD11"
"4400","ATPIF1"
"4401","TMEM59"
"4402","TMEM56"
"4403","TMEM57"
"4404","TMEM54"
"4405","SCLY"
"4406","TMEM52"
"4407","TMEM53"
"4408","TMEM51"
"4409","FAM84B"
"4410","FAM84A"
"4411","ZNF677"
"4412","ZNF675"
"4413","ZNF674"
"4414","ZNF670"
"4415","SNN"
"4416","KTI12"
"4417","ZNF678"
"4418","ACLY"
"4419","MGST2"
"4420","MGST3"
"4421","MGST1"
"4422","LSR"
"4423","LSS"
"4424","AGPAT3"
"4425","PRSS50"
"4426","PRSS53"
"4427","MPV17"
"4428","OTUD7B"
"4429","SNRPB2"
"4430","SH3D19"
"4431","VAPB"
"4432","FOXO3"
"4433","FOXO1"
"4434","NRN1L"
"4435","ACTR10"
"4436","ARL11"
"4437","SLFN12L"
"4438","ARL15"
"4439","ARL16"
"4440","WDR45B"
"4441","KIF4B"
"4442","KIF4A"
"4443","TMEM159"
"4444","DHRS7B"
"4445","DMTN"
"4446","MANBAL"
"4447","EIF4E3"
"4448","EIF4E2"
"4449","WDR78"
"4450","ACTR1B"
"4451","ACTR1A"
"4452","WDR70"
"4453","WDR73"
"4454","WDR75"
"4455","WDR74"
"4456","WDR77"
"4457","WDR76"
"4458","CDO1"
"4459","PRPF8"
"4460","PRPF3"
"4461","PRPF4"
"4462","PRPF6"
"4463","CD177"
"4464","PCF11"
"4465","ZFP64"
"4466","PIP4K2A"
"4467","ZFP62"
"4468","PIP4K2C"
"4469","PIP4K2B"
"4470","ARL14EP"
"4471","EGOT"
"4472","CSAD"
"4473","CDON"
"4474","RPRM"
"4475","DMBT1"
"4476","PRKG1"
"4477","FECH"
"4478","IGBP1P1"
"4479","MRE11"
"4480","PMEPA1"
"4481","CALML6"
"4482","CALML5"
"4483","CALML4"
"4484","CREM"
"4485","PDGFRA"
"4486","ANKRD13B"
"4487","ANKRD13C"
"4488","ANKRD13A"
"4489","AIDA"
"4490","KIAA1462"
"4491","TMSB10"
"4492","MCTP2"
"4493","SMNDC1"
"4494","IER5L"
"4495","PCIF1"
"4496","NDOR1"
"4497","BABAM1"
"4498","BABAM2"
"4499","AGRN"
"4500","CA4"
"4501","RABL6"
"4502","RABL3"
"4503","PACRGL"
"4504","RUFY1"
"4505","RUFY3"
"4506","RUFY2"
"4507","RUFY4"
"4508","AGR2"
"4509","AGR3"
"4510","GPAM"
"4511","ACSM1"
"4512","ACSM3"
"4513","ACSM5"
"4514","NDC1"
"4515","EIF4ENIF1"
"4516","TRIM28"
"4517","TRIM24"
"4518","TRIM25"
"4519","TRIM21"
"4520","TRIM23"
"4521","GNPAT"
"4522","F2R"
"4523","NKAP"
"4524","PPDPF"
"4525","DNAJC28"
"4526","DNAJC27"
"4527","DNAJC25"
"4528","DNAJC24"
"4529","DNAJC22"
"4530","DNAJC21"
"4531","NTSR1"
"4532","DTD1"
"4533","DTD2"
"4534","GSAP"
"4535","BAG2"
"4536","BAG3"
"4537","BAG1"
"4538","BAG4"
"4539","KMO"
"4540","ATXN1L"
"4541","ZNF385A"
"4542","ZNF385D"
"4543","ATXN10"
"4544","RAP1GAP2"
"4545","MYL12B"
"4546","MYL12A"
"4547","TMPO"
"4548","ECM1"
"4549","RAB3IL1"
"4550","NAP1L1"
"4551","NAP1L2"
"4552","NAP1L3"
"4553","NAP1L4"
"4554","SLC48A1"
"4555","NAP1L6"
"4556","PEAK1"
"4557","IL1RAP"
"4558","KIAA1143"
"4559","KANK4"
"4560","KANK2"
"4561","KANK3"
"4562","EPB41L4A-AS1"
"4563","CANX"
"4564","ABHD8"
"4565","SOCS6"
"4566","MYLIP"
"4567","ABHD2"
"4568","ABHD3"
"4569","ABHD1"
"4570","ABHD6"
"4571","ABHD4"
"4572","ABHD5"
"4573","TWF1"
"4574","TWF2"
"4575","USHBP1"
"4576","SSU72"
"4577","FAM47E"
"4578","GTF3A"
"4579","BATF3"
"4580","AGO1"
"4581","AGO3"
"4582","AGO2"
"4583","FAM120B"
"4584","FAM120C"
"4585","FAM120A"
"4586","MAPK14"
"4587","MAPK11"
"4588","MAPK12"
"4589","MAPK13"
"4590","FZD1"
"4591","FZD3"
"4592","FZD4"
"4593","FZD5"
"4594","FZD6"
"4595","FZD7"
"4596","FZD8"
"4597","C10orf76"
"4598","ASH1L"
"4599","AMFR"
"4600","USO1"
"4601","MRTO4"
"4602","LPXN"
"4603","NOTCH3"
"4604","ESCO2"
"4605","NUP43"
"4606","TUBG2"
"4607","TCTEX1D2"
"4608","ABHD18"
"4609","DBX2"
"4610","DTX2P1-UPK3BP1-PMS2P11"
"4611","TARBP2"
"4612","TARBP1"
"4613","ZNF652"
"4614","PPCS"
"4615","LOC285074"
"4616","UBE4A"
"4617","PTGDR"
"4618","PTGDS"
"4619","TBC1D23"
"4620","TBC1D20"
"4621","TBC1D25"
"4622","TBC1D24"
"4623","FUNDC2"
"4624","TYRO3"
"4625","ZNF382"
"4626","ZNF823"
"4627","WDFY4"
"4628","WDFY3"
"4629","WDFY2"
"4630","TPI1P2"
"4631","ANKRD36"
"4632","ANKRD37"
"4633","ANKRD31"
"4634","ANKRD39"
"4635","PRAME"
"4636","MECR"
"4637","SLC27A5"
"4638","SLC27A4"
"4639","PRAM1"
"4640","SLC27A3"
"4641","SLC27A2"
"4642","AK9"
"4643","AK8"
"4644","TBCK"
"4645","AK2"
"4646","TBCE"
"4647","TBCD"
"4648","AK7"
"4649","AK5"
"4650","AK4"
"4651","WDR87"
"4652","RAC1"
"4653","MME"
"4654","MMD"
"4655","SH2D3A"
"4656","PRR15L"
"4657","TMEM55B"
"4658","ALOX15B"
"4659","LIN9"
"4660","SLC24A4"
"4661","SLC24A2"
"4662","SLC24A3"
"4663","SERTAD4-AS1"
"4664","UHMK1"
"4665","ZXDB"
"4666","ZXDC"
"4667","ZXDA"
"4668","ZNF702P"
"4669","ANKRD36B"
"4670","EXOSC8"
"4671","EXOSC9"
"4672","BCKDK"
"4673","EXOSC2"
"4674","EXOSC3"
"4675","EXOSC1"
"4676","EXOSC6"
"4677","EXOSC7"
"4678","EXOSC5"
"4679","TULP3"
"4680","TULP4"
"4681","DISC1"
"4682","QRICH2"
"4683","INCENP"
"4684","PAOX"
"4685","SKP2"
"4686","INS-IGF2"
"4687","SKP1"
"4688","NOC2L"
"4689","CRYBG1"
"4690","CRYBG3"
"4691","RACK1"
"4692","LRRFIP1"
"4693","TFIP11"
"4694","LPAR2"
"4695","LPAR3"
"4696","LPAR1"
"4697","LPAR6"
"4698","LPAR4"
"4699","LPAR5"
"4700","MAPKBP1"
"4701","SPECC1"
"4702","SUN2"
"4703","SUN1"
"4704","HIST1H3B"
"4705","HIST1H3G"
"4706","HIST1H3D"
"4707","HIST1H3E"
"4708","HIST1H3J"
"4709","HIST1H3H"
"4710","SEC11A"
"4711","SEC11C"
"4712","IFI44"
"4713","ACKR1"
"4714","GPER1"
"4715","MYADM"
"4716","FAM25A"
"4717","OMA1"
"4718","PCYT1A"
"4719","PCYT1B"
"4720","LOC100132215"
"4721","POLR2E"
"4722","PRRX1"
"4723","PRRX2"
"4724","RGN"
"4725","CARD9"
"4726","CARD6"
"4727","ERP27"
"4728","HMP19"
"4729","ERP29"
"4730","SMG5"
"4731","ABCA12"
"4732","ADAMTS2"
"4733","IDH3G"
"4734","ADAMTS9"
"4735","ARHGEF3"
"4736","ADIRF"
"4737","RASL12"
"4738","RHBG"
"4739","MTG2"
"4740","MTG1"
"4741","COCH"
"4742","PIFO"
"4743","MAEA"
"4744","CDH2"
"4745","RBSN"
"4746","MAEL"
"4747","CACFD1"
"4748","TXNL4A"
"4749","TXNL4B"
"4750","FBLL1"
"4751","NUTM2F"
"4752","NUTM2D"
"4753","NUTM2A"
"4754","WDR63"
"4755","FAM53B"
"4756","FAM53C"
"4757","FAM53A"
"4758","AHCY"
"4759","SP100"
"4760","PARG"
"4761","DHDDS"
"4762","TIMP3"
"4763","TIMP2"
"4764","PARL"
"4765","EPO"
"4766","TSACC"
"4767","PSORS1C1"
"4768","SEMA7A"
"4769","DDX5"
"4770","DDX6"
"4771","DDX1"
"4772","SCN3A"
"4773","SCN3B"
"4774","ZNF215"
"4775","ZNF211"
"4776","ZNF212"
"4777","SLC7A5"
"4778","SLC7A2"
"4779","SLC7A3"
"4780","SLC7A1"
"4781","AMER1"
"4782","SSR4P1"
"4783","IPO9"
"4784","IPO7"
"4785","IPO4"
"4786","NRBP2"
"4787","NRBP1"
"4788","SCPEP1"
"4789","MGAT5B"
"4790","PAQR8"
"4791","NIFK"
"4792","GABPB1"
"4793","RBM12B-AS1"
"4794","PHYHD1"
"4795","PAQR3"
"4796","MARK3"
"4797","PAQR5"
"4798","PAQR4"
"4799","PAQR7"
"4800","PAQR6"
"4801","FADS1"
"4802","FADS3"
"4803","FADS2"
"4804","SIL1"
"4805","PRR5L"
"4806","ACAD10"
"4807","CARNS1"
"4808","PLOD2"
"4809","PLOD3"
"4810","CMPK2"
"4811","FAAP20"
"4812","FAAP24"
"4813","RAD21"
"4814","ADGRF3"
"4815","ADGRF4"
"4816","ADGRF5"
"4817","ALDH6A1"
"4818","NR2E3"
"4819","DUS4L"
"4820","JPH2"
"4821","JPH3"
"4822","JPH1"
"4823","JPH4"
"4824","TYK2"
"4825","BOD1"
"4826","HMBS"
"4827","SLITRK6"
"4828","SLITRK4"
"4829","SLITRK5"
"4830","SLITRK2"
"4831","SLITRK3"
"4832","SLITRK1"
"4833","PAPPA"
"4834","PIK3C2A"
"4835","LDAH"
