"","x"
"321","FBXO10"
"322","FBXO11"
"323","FBXO16"
"324","TACO1"
"325","FBXO15"
"326","PLA2G6"
"327","PLA2G7"
"328","PLA2G5"
"329","PLA2G3"
"330","GDPGP1"
"331","CCDC77"
"332","CCDC71"
"333","CCDC78"
"334","HIST3H2BB"
"335","GHITM"
"336","OSGIN2"
"337","OSGIN1"
"338","LGALS9C"
"339","UNC50"
"340","NKAIN4"
"341","NKAIN2"
"342","EMP3"
"343","MAP1A"
"344","MAP1B"
"345","IGSF9B"
"346","UNC5B"
"347","UNC5C"
"348","VGF"
"349","UNC5A"
"350","MAP1S"
"351","CCP110"
"352","ANKRD19P"
"353","RPL18A"
"354","CEND1"
"355","CLEC18B"
"356","BORCS7"
"357","BORCS6"
"358","BORCS5"
"359","SDR42E1"
"360","PPCDC"
"361","EPB41L3"
"362","EPB41L2"
"363","ACSS3"
"364","ACSS2"
"365","ACSS1"
"366","KIDINS220"
"367","PUDP"
"368","RUNDC3A"
"369","DFNA5"
"370","MAGEH1"
"371","WNT3"
"372","WNT2"
"373","WNT1"
"374","LRRN4"
"375","LRRN2"
"376","LRRN1"
"377","WNT4"
"378","HOXA11-AS"
"379","RNF170"
"380","PCNA"
"381","ZBTB7A"
"382","ZBTB7C"
"383","ZBTB7B"
"384","PCNP"
"385","PCNT"
"386","PACRG"
"387","ILF3"
"388","ILF2"
"389","BOK"
"390","BOC"
"391","DENND2C"
"392","DENND2A"
"393","INPP4A"
"394","SAFB"
"395","TRNP1"
"396","YBX3P1"
"397","C20orf27"
"398","PPP1R26"
"399","PPP1R21"
"400","NGLY1"
"401","LMX1A"
"402","ZCCHC24"
"403","LMX1B"
"404","ABCE1"
"405","KCP"
"406","CNR1"
"407","CNR2"
"408","GNL3L"
"409","OTULIN"
"410","RABEP1"
"411","ANKS1B"
"412","ANKS1A"
"413","BMT2"
"414","ADAM10"
"415","ADAM11"
"416","ADAM12"
"417","ADAM15"
"418","ADAM17"
"419","ADAM19"
"420","MEPE"
"421","HAGH"
"422","GLYAT"
"423","U2AF1L4"
"424","NDEL1"
"425","SHANK2"
"426","SHANK1"
"427","UCP2"
"428","FLT3LG"
"429","PCSK9"
"430","PCSK2"
"431","PCSK1"
"432","PCSK4"
"433","PCSK5"
"434","SP140L"
"435","TC2N"
"436","PLTP"
"437","FKBP9P1"
"438","C11orf1"
"439","SETBP1"
"440","FAM151B"
"441","PAXIP1"
"442","USE1"
"443","CNRIP1"
"444","CYP1B1-AS1"
"445","CDC34"
"446","CDC37"
"447","SPIN2B"
"448","PGLS"
"449","WDR7"
"450","CCNA2"
"451","DIAPH2"
"452","CCNA1"
"453","VPS28"
"454","DYNC1I2"
"455","SKA3"
"456","SKA2"
"457","PCDH20"
"458","C6orf89"
"459","PPP1R13B"
"460","PPP1R13L"
"461","TMC5"
"462","LOC100128239"
"463","WNT10A"
"464","DMC1"
"465","TM4SF18"
"466","TM4SF19"
"467","TMEM35A"
"468","POU3F1"
"469","LAMB1"
"470","LAMB3"
"471","LAMB2"
"472","LAMB4"
"473","MPHOSPH9"
"474","MPHOSPH8"
"475","MPHOSPH6"
"476","ASTN2"
"477","ASTN1"
"478","MLF2"
"479","MGP"
"480","HS3ST3B1"
"481","ADSS"
"482","SAMD4A"
"483","ADSL"
"484","SAMD4B"
"485","GAS2L1"
"486","GAS2L3"
"487","GAS2L2"
"488","HPGDS"
"489","ZW10"
"490","RSRC2"
"491","CPN2"
"492","TP73-AS1"
"493","PYY2"
"494","CDADC1"
"495","NLGN2"
"496","NLGN3"
"497","ARHGAP45"
"498","ARHGAP44"
"499","CASQ1"
"500","CASQ2"
"501","NUP107"
"502","SOX18"
"503","CDC42EP3"
"504","CDC42EP2"
"505","CDC42EP1"
"506","CDC42EP5"
"507","CDC42EP4"
"508","TBKBP1"
"509","RAB36"
"510","ABI2"
"511","ABI3"
"512","ABI1"
"513","TESC"
"514","PITPNC1"
"515","AOC1"
"516","KRT31"
"517","KRT32"
"518","KRT37"
"519","IL20"
"520","IL27"
"521","CLINT1"
"522","DMAP1"
"523","AHRR"
"524","ADCY5"
"525","ADCY6"
"526","ADCY7"
"527","ADCY1"
"528","ADCY2"
"529","ADCY3"
"530","ADCY9"
"531","NUCKS1"
"532","DDI2"
"533","XRCC3"
"534","XRCC2"
"535","XRCC5"
"536","XRCC4"
"537","XRCC6"
"538","MEIS3"
"539","MEIS2"
"540","MEIS1"
"541","PCDHAC2"
"542","PCDHAC1"
"543","CTLA4"
"544","ESPNL"
"545","ESPNP"
"546","DDX60"
"547","H2AFY2"
"548","ADCY10"
"549","KCNA6"
"550","KCNA5"
"551","KCNA2"
"552","KCNA3"
"553","KCNA1"
"554","OPTN"
"555","BHMT"
"556","FTL"
"557","MCCC1"
"558","ACACA"
"559","TNK1"
"560","PLA2G2A"
"561","PLA2G2D"
"562","CYFIP1"
"563","CYFIP2"
"564","TOB1"
"565","LHPP"
"566","NUP188"
"567","GLT8D2"
"568","GLT8D1"
"569","MRGPRE"
"570","MRGPRF"
"571","TTC39B"
"572","BPNT1"
"573","BCL9"
"574","BCL6"
"575","BCL3"
"576","BCL2"
"577","CLMN"
"578","CLMP"
"579","MTM1"
"580","SERPINB9"
"581","CSNK1G1"
"582","SERPINB2"
"583","SERPINB5"
